,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
0,imBrendyn,39693,27208,3963,2524,87180363,16789,336,6487,2105
1,bestboy021,52978,31853,6332,2716,111206504,18196,1204,9048,2440
2,ATKAbdul,32141,31353,4525,2892,89109230,12652,564,7417,2184
3,BugglyJR,44525,33800,4723,3030,111741958,18692,788,7753,2481
4,Rozhiin,16972,18249,2730,1965,46063186,5785,409,4695,1337
5,KIXS___,74327,30707,10290,1776,137169286,34098,1603,12066,2686
6,Mr_Fabiioo,22881,14391,2706,833,53336748,9062,238,3539,1137
7,BeautxfuI,47729,32104,6399,1807,132802328,20202,793,8206,2500
8,iIusionaI,49122,40825,5540,3986,126490425,17816,1441,9526,3033
9,Flxwzii,20264,15105,2754,1201,51301081,7737,323,3955,1134
10,iiRxhuI,4180,3088,543,184,10658571,1535,32,727,217
11,Examifyy,22774,19918,2543,1698,58099521,7677,395,4241,1347
12,LILxCARMINE,35792,22413,5074,1103,91123410,13855,805,6177,1742
13,CANDYKUSHY,39939,27519,4331,2050,97478470,18995,520,6381,2087
14,IREM-QX,4281,2930,438,286,9024784,1806,76,724,235
15,RtxmpIee,7026,5503,898,412,18730457,2332,46,1310,393
16,ZzKillerBeastzZ,40622,26839,4766,2229,106581674,15811,792,6995,2092
17,yMatth42,41009,25561,4154,2258,97700758,17328,664,6412,1973
18,FPS_BlaCKY,16922,12395,2264,713,42095357,6715,144,2977,943
19,HoIyGeorge,42857,25412,5557,1968,116598493,14432,549,7525,2341
20,RetroKing_09,14644,13630,1516,1314,41742356,5610,247,2830,925
21,H_SHUNJP,46971,32028,4726,3072,117946592,19346,579,7798,2532
22,zRxmaiN-,51273,31118,5743,2202,118860387,25286,396,7945,2530
23,joao92jv,41044,27971,4485,2469,101372205,15237,811,6954,2102
24,MxcsyPrincess,6483,3975,659,287,13267171,2315,34,946,279
25,DesireThings,14188,9839,1874,585,37629884,6274,150,2459,751
26,IStefyy,19949,17098,2177,1861,48389110,7429,327,4038,1233
27,xR4Wi-Mx,22286,15499,2664,1661,60426347,9592,567,4325,1252
28,TwitchGodd,44158,39992,4892,3999,102258634,18302,1455,8891,2752
29,RemyLacroixAss,38044,31396,3881,3466,89342509,15095,1125,7347,2231
30,ITz-sajad7,21945,22271,2563,2459,53503504,8603,476,5022,1436
31,Kasra_KP,58073,40495,8696,2840,152232800,18474,866,11536,3574
32,iFaacKzk_,23463,19216,3053,2404,59252644,9907,419,5457,1552
33,DannyKiIIa,30616,20193,3829,1572,76333779,12752,418,5401,1706
34,xFrxgEU-,1909,981,278,45,4277118,515,20,323,84
35,RawAdapt,13186,7981,1177,282,27459246,6395,104,1459,567
36,JstDiogo,18728,11437,2949,642,49319353,7978,325,3591,1080
37,JstSiIva,30666,23675,3201,2082,72424924,12958,575,5283,1642
38,Ballack17,22468,16001,2658,1730,53399738,8080,226,4388,1244
39,JacooLDX,28117,20928,3025,1894,67285308,12526,320,4919,1548
40,Xx_DeMoLiSeuR007,7327,4642,1219,274,18561872,2795,34,1493,422
41,rxXiM,49651,29763,5313,2191,117568094,18216,680,7504,2379
42,Jebwey,35840,26908,4739,2470,98883882,12314,605,7209,2069
43,BlameSpeedy,68250,57618,6844,4879,158275486,26564,878,11723,3751
44,TrueKingArson,1935,1552,230,171,4441246,839,94,401,100
45,Bscheee,48721,40258,5897,3624,116488077,19304,925,9521,2974
46,neeto666,73167,66830,9075,6699,190220010,27884,1062,15774,4891
47,DeadYouNeverDie,69733,45258,10260,2437,173377241,30193,884,12697,3793
48,BlameATKMomoGN,23974,18321,2623,1568,55092436,9373,315,4191,1236
49,KvLoug_DX,35820,34151,4661,2540,94424891,14841,244,7201,2215
50,ToxicvonKey,23411,14542,2855,936,55072021,10009,114,3791,1194
51,PyIIis,25640,21557,2799,2164,69390125,9945,423,4963,1510
52,joaoeduardosm,8347,5110,1538,209,23122226,2923,36,1747,484
53,lShaqii,23345,18581,2835,1611,61197231,8205,698,4446,1416
54,ForqettOG,43497,32125,4302,3617,110257709,16058,780,7919,2445
55,ela,10747,8497,1262,752,27043585,5421,76,2014,649
56,AbyssLune,16998,14268,2630,1572,39864457,6524,207,4202,1011
57,KINGaIi_TNT,40631,36230,4348,3514,107036718,16525,605,7862,2435
58,SarkssDNG,30618,26652,3793,2950,82974156,10977,596,6743,2083
59,StrikeraaZ-,45921,30559,6342,2139,130022548,18475,136,8481,2688
60,dangi-_-FreimiS,11143,8248,1301,805,25809984,4561,323,2106,575
61,Vjctorr,12710,9599,1364,979,30578063,4491,230,2343,754
62,MillerGunny,40844,30778,4064,3116,98812660,13899,901,7180,2313
63,VqzyP,32342,23246,3960,1673,84368221,10888,382,5633,1643
64,HamidSLI-,53150,38624,5500,3574,140172035,16483,902,9074,2831
65,DEATHHAWK55,12853,8972,1721,597,32553334,5176,185,2318,677
66,lBootzz,30816,22059,3834,1585,78542413,12215,364,5419,1733
67,fraaggerrr,10472,7983,1283,623,28526336,4338,140,1906,601
68,ATKAshh,6331,5299,950,285,17837118,2314,58,1235,370
69,IBeenLethal,16596,10718,2564,602,42814975,6014,140,3166,1075
70,yTxrror,282,167,45,7,614975,73,7,52,15
